Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Nacionalitat,Valor
1998,01,03,15,No consta,0
1998,01,03,15,Àfrica,43
1998,01,03,15,Àsia,24
1998,01,03,16,Altres Europa,17299
1998,01,03,16,Amèrica Llatina,37
1998,01,03,16,Amèrica del Nord,0
1998,01,03,16,Europa Occidental,0
1998,01,03,16,No consta,0
1998,01,03,16,Àfrica,71
1998,01,03,16,Àsia,0
1998,01,03,17,Altres Europa,23408
1998,01,03,17,Amèrica Llatina,84
1998,01,03,17,Amèrica del Nord,0
1998,01,03,17,Europa Occidental,0
1998,01,03,17,Àfrica,41
1998,01,03,17,Àsia,21
1998,01,03,18,Altres Europa,37773
1998,01,03,18,Amèrica Llatina,196
1998,01,03,18,Amèrica del Nord,0
1998,01,03,18,Europa Occidental,12
1998,01,03,18,No consta,0
1998,01,03,18,Oceania,0
1998,01,03,18,Àfrica,81
1998,01,03,18,Àsia,10
1998,01,04,19,Altres Europa,45800
1998,01,04,19,Amèrica Llatina,149
1998,01,04,19,Amèrica del Nord,0
1998,01,04,19,Europa Occidental,94
1998,01,04,19,No consta,0
1998,01,04,19,Oceania,0
1998,01,04,19,Àfrica,6
1998,01,04,19,Àsia,16
1998,01,04,20,Altres Europa,24217
1998,01,04,20,Amèrica Llatina,98
1998,01,04,20,Amèrica del Nord,0
1998,01,04,20,Europa Occidental,29
1998,01,04,20,No consta,0
1998,01,04,20,Àfrica,0
1998,01,04,20,Àsia,23
1998,01,04,21,Altres Europa,10663
1998,01,04,21,Amèrica Llatina,47
1998,01,04,21,Amèrica del Nord,5
1998,01,04,21,Europa Occidental,230
1998,01,04,21,No consta,0
1998,01,04,21,Oceania,0
1998,01,04,21,Àfrica,7
1998,01,04,21,Àsia,96
1998,01,05,22,Altres Europa,3081
1998,01,05,22,Amèrica Llatina,8
1998,01,05,22,Amèrica del Nord,0
1998,01,05,22,Europa Occidental,36
1998,01,05,22,Àfrica,0
1998,01,05,23,Altres Europa,20568
1998,01,05,23,Amèrica Llatina,54
1998,01,05,23,Amèrica del Nord,0
1998,01,05,23,Europa Occidental,242
1998,01,05,23,Àfrica,0
1998,01,05,23,Àsia,33
1998,01,05,24,Altres Europa,13182
1998,01,05,24,Amèrica Llatina,6
1998,01,05,24,Amèrica del Nord,0
1998,01,05,24,Europa Occidental,155
1998,01,05,24,Àfrica,0
1998,01,05,24,Àsia,5
1998,01,05,25,Altres Europa,21665
1998,01,05,25,Amèrica Llatina,40
1998,01,05,25,Amèrica del Nord,5
1998,01,05,25,Europa Occidental,195
1998,01,05,25,No consta,0
1998,01,05,25,Oceania,0
1998,01,05,25,Àfrica,6
1998,01,05,25,Àsia,0
1998,01,05,26,Altres Europa,42737
1998,01,05,26,Amèrica Llatina,117
1998,01,05,26,Amèrica del Nord,11
1998,01,05,26,Europa Occidental,386
1998,01,05,26,Oceania,0
1998,01,05,26,Àfrica,6
1998,01,05,26,Àsia,116
1998,01,05,27,Altres Europa,26287
1998,01,05,27,Amèrica Llatina,91
1998,01,05,27,Amèrica del Nord,0
1998,01,05,27,Europa Occidental,218
1998,01,05,27,No consta,0
1998,01,05,27,Oceania,0
1998,01,05,27,Àfrica,5
1998,01,05,27,Àsia,5
1998,01,06,28,Altres Europa,14110
1998,01,06,28,Amèrica Llatina,45
1998,01,06,28,Amèrica del Nord,0
1998,01,06,28,Europa Occidental,69
1998,01,06,28,Oceania,0
1998,01,06,28,Àfrica,0
1998,01,06,28,Àsia,0
1998,01,06,29,Altres Europa,6575
1998,01,06,29,Amèrica Llatina,15
1998,01,06,29,Amèrica del Nord,0
1998,01,06,29,Europa Occidental,7
1998,01,06,29,Oceania,0
1998,01,06,29,Àfrica,0
1998,01,06,29,Àsia,0
1998,01,06,30,Altres Europa,12747
1998,01,06,30,Amèrica Llatina,19
1998,01,06,30,Amèrica del Nord,0
1998,01,06,30,Europa Occidental,28
1998,01,06,30,Àfrica,0
1998,01,06,30,Àsia,16
1998,01,06,31,Altres Europa,46169
1998,01,06,31,Amèrica Llatina,314
1998,01,06,31,Amèrica del Nord,0
1998,01,06,31,Europa Occidental,121
1998,01,06,31,No consta,0
1998,01,06,31,Oceania,0
1998,01,06,31,Àfrica,5
1998,01,06,31,Àsia,27
1998,01,06,32,Altres Europa,33564
1998,01,06,32,Amèrica Llatina,138
1998,01,06,32,Amèrica del Nord,0
1998,01,06,32,Europa Occidental,30
1998,01,06,32,No consta,0
1998,01,06,32,Oceania,0
1998,01,06,32,Àfrica,0
1998,01,06,32,Àsia,5
1998,01,07,33,Altres Europa,24727
1998,01,07,33,Amèrica Llatina,141
1998,01,07,33,Amèrica del Nord,0
1998,01,07,33,Europa Occidental,0
1998,01,07,33,Àfrica,0
1998,01,07,33,Àsia,15
1998,01,07,34,Altres Europa,8961
1998,01,07,34,Amèrica Llatina,10
1998,01,07,34,Amèrica del Nord,0
1998,01,07,34,Europa Occidental,0
1998,01,07,34,No consta,0
1998,01,07,34,Oceania,0
1998,01,07,34,Àfrica,0
1998,01,07,34,Àsia,0
1998,01,07,35,Altres Europa,34158
1998,01,07,35,Amèrica Llatina,105
1998,01,07,35,Amèrica del Nord,0
1998,01,07,35,Europa Occidental,5
1998,01,07,35,No consta,0
1998,01,07,35,Oceania,0
1998,01,07,35,Àfrica,28
1998,01,07,35,Àsia,6
1998,01,07,36,Altres Europa,9814
1998,01,07,36,Amèrica Llatina,0
1998,01,07,36,Amèrica del Nord,0
1998,01,07,36,Europa Occidental,0
1998,01,07,36,No consta,0
1998,01,07,37,Altres Europa,33628
1998,01,07,37,Amèrica Llatina,43
1998,01,07,37,Amèrica del Nord,0
1998,01,07,37,Europa Occidental,0
1998,01,07,37,Àfrica,6
1998,01,07,37,Àsia,0
1998,01,07,38,Altres Europa,11239
1998,01,07,38,Amèrica Llatina,40
1998,01,07,38,Amèrica del Nord,0
1998,01,07,38,Europa Occidental,0
1998,01,07,38,Àfrica,0
1998,01,07,38,Àsia,0
1998,01,07,39,Altres Europa,7092
1998,01,07,39,Amèrica Llatina,36
1998,01,07,39,Amèrica del Nord,0
1998,01,07,39,Europa Occidental,6
1998,01,07,39,Àfrica,0
1998,01,07,39,Àsia,0
1998,01,07,40,Altres Europa,5239
1998,01,07,40,Amèrica Llatina,0
1998,01,07,40,Amèrica del Nord,0
1998,01,07,40,Europa Occidental,0
1998,01,07,40,Àfrica,0
1998,01,07,40,Àsia,0
1998,01,07,41,Altres Europa,5413
1998,01,07,41,Amèrica Llatina,60
1998,01,07,41,Amèrica del Nord,0
1998,01,07,41,Europa Occidental,7
1998,01,07,41,Àsia,0
1998,01,07,42,Altres Europa,450
1998,01,07,42,Amèrica Llatina,0
1998,01,07,42,Àfrica,0
1998,01,07,42,Àsia,0
1998,01,07,43,Altres Europa,26377
1998,01,07,43,Amèrica Llatina,12
1998,01,07,43,Amèrica del Nord,0
1998,01,07,43,Europa Occidental,0
1998,01,07,43,Oceania,0
1998,01,07,43,Àfrica,0
