Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,02,10,Un home de 18 a 64 anys,693
1997,01,02,10,Un home de 65 anys i més,360
1997,01,02,10,Una dona de 18 a 64 anys,942
1997,01,02,10,Una dona de 65 anys i més,1900
1997,01,03,11,Altres domicilis amb una o més persones menors de 18 anys,1052
1997,01,03,11,Dues persones de 18 a 64 anys,1569
1997,01,03,11,Dues persones de 65 anys i més,1477
1997,01,03,11,Dues persones o més totes majors de 18 anys,2687
1997,01,03,11,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,55
1997,01,03,11,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,261
1997,01,03,11,Dues persones: una de 18-64 anys i l'altra de 65 i més,991
1997,01,03,11,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1811
1997,01,03,11,Un home de 18 a 64 anys,833
1997,01,03,11,Un home de 65 anys i més,405
1997,01,03,11,Una dona de 18 a 64 anys,868
1997,01,03,11,Una dona de 65 anys i més,1907
1997,01,03,12,Altres domicilis amb una o més persones menors de 18 anys,107
1997,01,03,12,Dues persones de 18 a 64 anys,44
1997,01,03,12,Dues persones de 65 anys i més,36
1997,01,03,12,Dues persones o més totes majors de 18 anys,114
1997,01,03,12,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,3
1997,01,03,12,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,23
1997,01,03,12,Dues persones: una de 18-64 anys i l'altra de 65 i més,54
1997,01,03,12,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,94
1997,01,03,12,Un home de 18 a 64 anys,26
1997,01,03,12,Un home de 65 anys i més,10
1997,01,03,12,Una dona de 18 a 64 anys,21
1997,01,03,12,Una dona de 65 anys i més,24
1997,01,03,13,Altres domicilis amb una o més persones menors de 18 anys,1024
1997,01,03,13,Dues persones de 18 a 64 anys,1254
1997,01,03,13,Dues persones de 65 anys i més,641
1997,01,03,13,Dues persones o més totes majors de 18 anys,2195
1997,01,03,13,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,41
1997,01,03,13,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,183
1997,01,03,13,Dues persones: una de 18-64 anys i l'altra de 65 i més,499
1997,01,03,13,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2092
1997,01,03,13,Un home de 18 a 64 anys,344
1997,01,03,13,Un home de 65 anys i més,120
1997,01,03,13,Una dona de 18 a 64 anys,370
1997,01,03,13,Una dona de 65 anys i més,470
1997,01,03,14,Altres domicilis amb una o més persones menors de 18 anys,279
1997,01,03,14,Dues persones de 18 a 64 anys,481
1997,01,03,14,Dues persones de 65 anys i més,290
1997,01,03,14,Dues persones o més totes majors de 18 anys,727
1997,01,03,14,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,12
1997,01,03,14,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,77
1997,01,03,14,Dues persones: una de 18-64 anys i l'altra de 65 i més,207
1997,01,03,14,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,632
1997,01,03,14,Un home de 18 a 64 anys,190
1997,01,03,14,Un home de 65 anys i més,64
1997,01,03,14,Una dona de 18 a 64 anys,217
1997,01,03,14,Una dona de 65 anys i més,308
1997,01,03,15,Altres domicilis amb una o més persones menors de 18 anys,466
1997,01,03,15,Dues persones de 18 a 64 anys,628
1997,01,03,15,Dues persones de 65 anys i més,562
1997,01,03,15,Dues persones o més totes majors de 18 anys,1178
1997,01,03,15,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,22
1997,01,03,15,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,97
1997,01,03,15,Dues persones: una de 18-64 anys i l'altra de 65 i més,383
1997,01,03,15,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,965
1997,01,03,15,Un home de 18 a 64 anys,286
1997,01,03,15,Un home de 65 anys i més,163
1997,01,03,15,Una dona de 18 a 64 anys,345
1997,01,03,15,Una dona de 65 anys i més,660
1997,01,03,16,Altres domicilis amb una o més persones menors de 18 anys,589
1997,01,03,16,Dues persones de 18 a 64 anys,797
1997,01,03,16,Dues persones de 65 anys i més,489
1997,01,03,16,Dues persones o més totes majors de 18 anys,1417
1997,01,03,16,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,19
1997,01,03,16,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,111
1997,01,03,16,Dues persones: una de 18-64 anys i l'altra de 65 i més,300
1997,01,03,16,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1380
1997,01,03,16,Un home de 18 a 64 anys,264
1997,01,03,16,Un home de 65 anys i més,89
1997,01,03,16,Una dona de 18 a 64 anys,311
1997,01,03,16,Una dona de 65 anys i més,445
1997,01,03,17,Altres domicilis amb una o més persones menors de 18 anys,776
1997,01,03,17,Dues persones de 18 a 64 anys,1126
1997,01,03,17,Dues persones de 65 anys i més,833
1997,01,03,17,Dues persones o més totes majors de 18 anys,1953
1997,01,03,17,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,35
1997,01,03,17,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,156
1997,01,03,17,Dues persones: una de 18-64 anys i l'altra de 65 i més,501
1997,01,03,17,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1726
1997,01,03,17,Un home de 18 a 64 anys,383
1997,01,03,17,Un home de 65 anys i més,151
1997,01,03,17,Una dona de 18 a 64 anys,452
1997,01,03,17,Una dona de 65 anys i més,783
1997,01,03,18,Altres domicilis amb una o més persones menors de 18 anys,1130
1997,01,03,18,Dues persones de 18 a 64 anys,1692
1997,01,03,18,Dues persones de 65 anys i més,1618
1997,01,03,18,Dues persones o més totes majors de 18 anys,3346
1997,01,03,18,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,65
1997,01,03,18,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,278
1997,01,03,18,Dues persones: una de 18-64 anys i l'altra de 65 i més,954
1997,01,03,18,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2266
1997,01,03,18,Un home de 18 a 64 anys,706
1997,01,03,18,Un home de 65 anys i més,364
1997,01,03,18,Una dona de 18 a 64 anys,911
1997,01,03,18,Una dona de 65 anys i més,1810
1997,01,04,19,Altres domicilis amb una o més persones menors de 18 anys,1489
1997,01,04,19,Dues persones de 18 a 64 anys,1790
1997,01,04,19,Dues persones de 65 anys i més,1324
1997,01,04,19,Dues persones o més totes majors de 18 anys,4083
1997,01,04,19,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,85
1997,01,04,19,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,434
1997,01,04,19,Dues persones: una de 18-64 anys i l'altra de 65 i més,853
1997,01,04,19,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,3094
1997,01,04,19,Un home de 18 a 64 anys,734
1997,01,04,19,Un home de 65 anys i més,279
1997,01,04,19,Una dona de 18 a 64 anys,1020
1997,01,04,19,Una dona de 65 anys i més,1288
1997,01,04,20,Altres domicilis amb una o més persones menors de 18 anys,872
1997,01,04,20,Dues persones de 18 a 64 anys,913
1997,01,04,20,Dues persones de 65 anys i més,664
1997,01,04,20,Dues persones o més totes majors de 18 anys,2226
1997,01,04,20,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,44
