Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2016,08,44,25170,341924519,13584.605442987684
2016,08,45,24247,297383221,12264.742896028374
2016,08,46,15180,154599054,10184.39090909091
2016,08,47,2215,20906785,9438.729119638827
2016,08,48,14817,201945638,13629.32024026456
2016,08,49,6831,87049880,12743.35821987996
2016,08,50,15224,141682131,9306.498357856017
2016,08,51,12118,122073863,10073.76324475986
2016,08,52,25778,286779427,11124.96807355109
2016,08,53,7176,62206513,8668.689102564103
2016,08,54,2735,21486178,7856.006581352834
2016,08,55,9957,76558367,7688.898965551873
2016,08,56,1330,11231850,8445
2016,09,57,9960,86043035,8638.858935742972
2016,09,58,2463,20952903,8507.065773447015
2016,09,59,12440,135246546,10871.90884244373
2016,09,60,55836,823570407,14749.810283687943
2016,09,61,28349,393209546,13870.31450844827
2016,09,62,13940,191829305,13761.069225251076
2016,09,63,21875,309210607,14135.342034285713
2016,10,64,37661,550072609,14605.894931095829
2016,10,65,26549,377501722,14219.056160307357
2016,10,66,14658,217371888,14829.573475235366
2016,10,67,9187,201333145,21915.00435397845
2016,10,68,33236,495920782,14921.193344566133
2016,10,69,13233,226302284,17101.359026675735
2016,10,70,22527,212384917,9428.016025214187
2016,10,71,20078,275387711,13715.893565096125
2016,10,72,25707,337626649,13133.646438713191
2016,10,73,28214,338399098,11994.013539377615
2017,01,01,47474,427356513,9001.906580444032
2017,01,02,15913,190457210,11968.655187582479
2017,01,03,14709,169956349,11554.582160581956
2017,01,04,22576,285711528,12655.54252303331
2017,02,05,31718,519519149,16379.316129642475
2017,02,06,51011,815071522,15978.3482386152
2017,02,07,43621,913430044,20940.144517548888
2017,02,08,41956,806856898,19231.02531223186
2017,02,09,57419,1024696823,17845.95383061356
2017,02,10,38005,608020999,15998.447546375477
2017,03,11,39913,463739735,11618.764187106957
2017,03,12,1129,11196293,9917
2017,03,13,30246,363592552,12021.178073133637
2017,03,14,10271,150796304,14681.754843734787
2017,03,15,15684,218898361,13956.794248916092
2017,03,16,18299,259013746,14154.530083611126
2017,03,17,23770,326027634,13715.929070256627
2017,03,18,40609,621069073,15293.877539461695
2017,04,19,45281,918799783,20291.06651796559
2017,04,20,23731,436564981,18396.400530951076
2017,04,21,12018,325796725,27109.063488101183
2017,05,22,4609,86026858,18664.97244521588
2017,05,23,24804,601312192,24242.54926624738
2017,05,24,16480,468256477,28413.621177184465
2017,05,25,25560,641311395,25090.43016431925
2017,05,26,47279,1205571110,25499.082256392903
2017,05,27,29172,607439703,20822.69652406417
2017,06,28,15589,281932594,18085.354673166978
2017,06,29,7330,105046492,14331.035743519782
2017,06,30,12973,230920276,17800.06752485932
2017,06,31,49997,814854760,16298.073084385063
2017,06,32,33828,594458399,17572.969108430887
2017,07,33,25366,386858872,15251.079082236063
2017,07,34,8850,124958309,14119.582937853107
2017,07,35,36069,536355928,14870.2744184757
2017,07,36,9255,162226585,17528.53430578066
2017,07,37,31127,340574127,10941.437562244997
2017,07,38,11505,140257329,12190.989048239895
2017,07,39,6743,88402859,13110.315734836126
2017,07,40,4980,69725602,14001.124899598393
2017,07,41,5701,94243120,16530.980529731627
2017,07,42,517,6796482,13146
2017,07,43,26304,380278776,14457.070255474453
2017,08,44,25251,346539066,13723.775929666152
2017,08,45,24693,305531811,12373.215526667476
2017,08,46,15327,157389523,10268.775559470216
2017,08,47,2235,21475092,9608.542281879194
2017,08,48,15029,209250397,13923.108456983166
2017,08,49,6792,86808407,12780.978651354535
2017,08,50,15444,147131029,9526.743654493654
2017,08,51,12236,125126315,10226.080009807127
2017,08,52,26049,294738017,11314.753618181121
2017,08,53,7192,64030620,8903.033926585094
2017,08,54,2811,22887561,8142.141942369263
2017,08,55,10285,79918481,7770.3919299951385
2017,08,56,1348,11533488,8556
2017,09,57,9912,87120683,8789.415153349475
2017,09,58,2496,21626967,8664.650240384615
2017,09,59,12459,138603539,11124.772373384701
2017,09,60,56385,844832098,14983.277431941118
2017,09,61,28685,405655966,14141.74537214572
2017,09,62,14037,196967495,14032.022155731282
2017,09,63,21948,315431404,14371.760707125934
2017,10,64,37814,562208636,14867.737769080235
2017,10,65,26661,384609735,14425.930572746709
2017,10,66,15009,228820580,15245.557998534212
2017,10,67,9256,205921221,22247.322925669836
2017,10,68,33569,517475498,15415.278918049391
2017,10,69,13502,234004693,17331.1133906088
2017,10,70,22803,218571440,9585.205455422532
2017,10,71,20197,283722734,14047.766202901421
2017,10,72,25848,346856140,13419.070721138965
2017,10,73,28265,342349304,12112.128215107023
2018,01,01,47054,438429245,9317.576507842054
