Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Educacio,Valor
1997,01,05,26,"Estudis universitaris, CFGS grau superior",14411
1997,01,05,26,No consta,921
1997,01,05,26,Sense estudis,1986
1997,01,05,27,"Batxillerat elemental, graduat escolar, ESO, FPI",3286
1997,01,05,27,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",6503
1997,01,05,27,"Estudis primaris, certificat d'escolaritat, EGB",3155
1997,01,05,27,"Estudis universitaris, CFGS grau superior",7821
1997,01,05,27,No consta,657
1997,01,05,27,Sense estudis,1302
1997,01,06,28,"Batxillerat elemental, graduat escolar, ESO, FPI",2102
1997,01,06,28,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3186
1997,01,06,28,"Estudis primaris, certificat d'escolaritat, EGB",2646
1997,01,06,28,"Estudis universitaris, CFGS grau superior",2970
1997,01,06,28,No consta,325
1997,01,06,28,Sense estudis,1287
1997,01,06,29,"Batxillerat elemental, graduat escolar, ESO, FPI",1163
1997,01,06,29,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1235
1997,01,06,29,"Estudis primaris, certificat d'escolaritat, EGB",1447
1997,01,06,29,"Estudis universitaris, CFGS grau superior",860
1997,01,06,29,No consta,162
1997,01,06,29,Sense estudis,897
1997,01,06,30,"Batxillerat elemental, graduat escolar, ESO, FPI",1913
1997,01,06,30,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3064
1997,01,06,30,"Estudis primaris, certificat d'escolaritat, EGB",2110
1997,01,06,30,"Estudis universitaris, CFGS grau superior",2852
1997,01,06,30,No consta,319
1997,01,06,30,Sense estudis,894
1997,01,06,31,"Batxillerat elemental, graduat escolar, ESO, FPI",7159
1997,01,06,31,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",9206
1997,01,06,31,"Estudis primaris, certificat d'escolaritat, EGB",11067
1997,01,06,31,"Estudis universitaris, CFGS grau superior",7825
1997,01,06,31,No consta,901
1997,01,06,31,Sense estudis,5750
1997,01,06,32,"Batxillerat elemental, graduat escolar, ESO, FPI",5318
1997,01,06,32,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",7375
1997,01,06,32,"Estudis primaris, certificat d'escolaritat, EGB",6421
1997,01,06,32,"Estudis universitaris, CFGS grau superior",6486
1997,01,06,32,No consta,742
1997,01,06,32,Sense estudis,3095
1997,01,07,33,"Batxillerat elemental, graduat escolar, ESO, FPI",4064
1997,01,07,33,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",5152
1997,01,07,33,"Estudis primaris, certificat d'escolaritat, EGB",5411
1997,01,07,33,"Estudis universitaris, CFGS grau superior",3818
1997,01,07,33,No consta,494
1997,01,07,33,Sense estudis,3009
1997,01,07,34,"Batxillerat elemental, graduat escolar, ESO, FPI",1531
1997,01,07,34,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1492
1997,01,07,34,"Estudis primaris, certificat d'escolaritat, EGB",2224
1997,01,07,34,"Estudis universitaris, CFGS grau superior",918
1997,01,07,34,No consta,215
1997,01,07,34,Sense estudis,1385
1997,01,07,35,"Batxillerat elemental, graduat escolar, ESO, FPI",5576
1997,01,07,35,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",7047
1997,01,07,35,"Estudis primaris, certificat d'escolaritat, EGB",7998
1997,01,07,35,"Estudis universitaris, CFGS grau superior",4923
1997,01,07,35,No consta,691
1997,01,07,35,Sense estudis,4203
1997,01,07,36,"Batxillerat elemental, graduat escolar, ESO, FPI",1729
1997,01,07,36,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2058
1997,01,07,36,"Estudis primaris, certificat d'escolaritat, EGB",2042
1997,01,07,36,"Estudis universitaris, CFGS grau superior",1474
1997,01,07,36,No consta,280
1997,01,07,36,Sense estudis,865
1997,01,07,37,"Batxillerat elemental, graduat escolar, ESO, FPI",6467
1997,01,07,37,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4223
1997,01,07,37,"Estudis primaris, certificat d'escolaritat, EGB",8926
1997,01,07,37,"Estudis universitaris, CFGS grau superior",1355
1997,01,07,37,No consta,863
1997,01,07,37,Sense estudis,7526
1997,01,07,38,"Batxillerat elemental, graduat escolar, ESO, FPI",2072
1997,01,07,38,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1554
1997,01,07,38,"Estudis primaris, certificat d'escolaritat, EGB",3057
